id,gml_id,name,latitude,longitude,created_at,updated_at,postal_code,prefecture,city,formatted_address,keyword
34,ED01_34,馬込沢,35.74215568,139.99569176,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
35,ED01_35,柏井四丁目,35.74980209,139.96957926,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
36,ED01_36,柏井新田,35.74905081,139.96690076,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
37,ED01_37,中沢,35.75107954,139.97593481,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
38,ED01_38,塚田入口,35.71579874,139.97931788,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
39,ED01_39,二軒家,35.71306692,139.98657378,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
40,ED01_40,山手三丁目,35.7159854,139.97714,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
41,ED01_41,市川東高校入口,35.73994438,139.95262463,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
42,ED01_42,松原神社前,34.91441624,139.87159198,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
43,ED01_43,下町,34.98528171,139.86091489,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
44,ED01_44,仲町,34.98440241,139.85899769,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
45,ED01_45,西の浜海岸通り,34.98300184,139.84949084,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
46,ED01_46,神明神社前,34.98853841,139.86822501,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
47,ED01_47,白浜中学校前,34.91101566,139.86813708,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
48,ED01_48,七島橋,34.90666416,139.86923849,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
49,ED01_49,長尾小学校前,34.91029784,139.86143793,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
50,ED01_50,砂取,34.90908194,139.85344597,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
51,ED01_51,川田,34.90929954,139.84858685,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
52,ED01_52,根本,34.90914562,139.84484966,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
53,ED01_53,根本キャンプ場,34.90575227,139.83942694,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
54,ED01_54,西根本,34.90791663,139.84000193,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
55,ED01_55,フラワーパーク,34.91091828,139.82911263,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
56,ED01_56,安房自然村,34.91601932,139.82609337,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
57,ED01_57,堰谷,34.91928132,139.86987224,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
58,ED01_58,根本海岸,34.90845782,139.83222376,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
59,ED01_59,布良,34.9181716,139.82727155,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
60,ED01_60,長尾橋,34.91030664,139.87196054,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
61,ED01_61,安房横渚,34.90760533,139.87941469,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
62,ED01_62,東横渚,34.90698055,139.88255503,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
63,ED01_63,野島埼灯台口,34.90729417,139.8868328,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
64,ED01_64,安房白浜,34.9075336,139.89619238,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
65,ED01_65,杖珠院,34.90807389,139.90335612,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
